,,unit
Satellite account,Domestic Extraction Used - Metal Ores - Nickel ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Other non-ferrous metal ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - PGM ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Silver ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Tin ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Uranium and thorium ores,kt
Satellite account,Domestic Extraction Used - Metal Ores - Zinc ores,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Building stones,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Chemical and fertilizer minerals,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Clays and kaolin,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand,kt
Satellite account,"Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite",kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Other minerals,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Salt,kt
Satellite account,Domestic Extraction Used - Non-Metallic Minerals - Slate,kt
Satellite account,Domestic Extraction Used - Primary Crops - Abaca,kt
Satellite account,Domestic Extraction Used - Primary Crops - Agave Fibres nes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Almonds,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Anise, Badian, Fennel",kt
Satellite account,Domestic Extraction Used - Primary Crops - Apples,kt
Satellite account,Domestic Extraction Used - Primary Crops - Apricots,kt
Satellite account,Domestic Extraction Used - Primary Crops - Arecanuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Artichokes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Asparagus,kt
Satellite account,Domestic Extraction Used - Primary Crops - Avocados,kt
Satellite account,Domestic Extraction Used - Primary Crops - Bambara beans,kt
Satellite account,Domestic Extraction Used - Primary Crops - Bananas,kt
Satellite account,Domestic Extraction Used - Primary Crops - Barley,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Beans, dry",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Beans, green",kt
Satellite account,Domestic Extraction Used - Primary Crops - Beeswax,kt
Satellite account,Domestic Extraction Used - Primary Crops - Berries nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Blueberries,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Brazil nuts, with shell",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Broad beans, horse beans, dry",kt
Satellite account,Domestic Extraction Used - Primary Crops - Buckwheat,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cabbages,kt
Satellite account,Domestic Extraction Used - Primary Crops - Canary Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Carobs,kt
Satellite account,Domestic Extraction Used - Primary Crops - Carrots,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Cashew nuts, with shell",kt
Satellite account,Domestic Extraction Used - Primary Crops - Cashewapple,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cassava,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cassava leaves,kt
Satellite account,Domestic Extraction Used - Primary Crops - Castor oil seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cauliflower,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cereals nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cherries,kt
Satellite account,Domestic Extraction Used - Primary Crops - Chestnuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Chick peas,kt
Satellite account,Domestic Extraction Used - Primary Crops - Chicory Roots,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Chillies and peppers, dry",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Chillies and peppers, green",kt
Satellite account,Domestic Extraction Used - Primary Crops - Cinnamon,kt
Satellite account,Domestic Extraction Used - Primary Crops - Citrus Fruit nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cloves,kt
Satellite account,Domestic Extraction Used - Primary Crops - Cocoa Beans,kt
