Region,Level,Item,production
EU27+UK,Sector,"Electricity by tide, wave, ocean",-2510723428.027384
EU27+UK,Sector,Electricity by wind,-72080675725723.16
EU27+UK,Sector,Electricity nec,4858963687747.208
EU27+UK,Sector,Ethane,1057039457080.716
EU27+UK,Sector,Extra-territorial organizations and bodies,0.0
EU27+UK,Sector,"Fabricated metal products, except machinery and equipment (28)",-185181862620169.84
EU27+UK,Sector,"Financial intermediation services, except insurance and pension funding services (65)",-139653347512497.7
EU27+UK,Sector,Fish and other fishing products; services incidental of fishing (05),5327003171550.61
EU27+UK,Sector,Fish products,-1664803979849.526
EU27+UK,Sector,Food products nec,-6262601138997.691
EU27+UK,Sector,Food waste for treatment: biogasification and land application,653963308672.6647
EU27+UK,Sector,Food waste for treatment: composting and land application,412247996968.04254
EU27+UK,Sector,Food waste for treatment: incineration,440531130213.91187
EU27+UK,Sector,Food waste for treatment: landfill,338498820110.6301
EU27+UK,Sector,Food waste for treatment: waste water treatment,8666103486097.612
EU27+UK,Sector,Foundry work services,12498306988480.389
EU27+UK,Sector,Furniture; other manufactured goods n.e.c. (36),39610435462526.57
EU27+UK,Sector,Gas Coke,0.0
EU27+UK,Sector,Gas Works Gas,17212573659483.773
EU27+UK,Sector,Gas/Diesel Oil,138086334237996.6
EU27+UK,Sector,Gasoline Type Jet Fuel,387227439845.1981
EU27+UK,Sector,Glass and glass products,-71366138984814.22
EU27+UK,Sector,Health and social work services (85),139392239627.81433
EU27+UK,Sector,Heavy Fuel Oil,-251727389323108.62
EU27+UK,Sector,Hotel and restaurant services (55),-196801743257783.12
EU27+UK,Sector,Inert/metal/hazardous waste for treatment: landfill,1125783282881.3987
EU27+UK,Sector,Inland water transportation services,-186476901050.64496
EU27+UK,Sector,"Insurance and pension funding services, except compulsory social security services (66)",-515152281517993.25
EU27+UK,Sector,Intert/metal waste for treatment: incineration,-17772436105226.83
EU27+UK,Sector,Iron ores,248025606552.35522
EU27+UK,Sector,Kerosene,-15274800228214.598
EU27+UK,Sector,Kerosene Type Jet Fuel,1338054557243.0713
EU27+UK,Sector,Landifill,0.0
EU27+UK,Sector,"Lead, zinc and tin and products thereof",-2327122021562.3013
EU27+UK,Sector,"Lead, zinc and tin ores and concentrates",72340430764.51303
EU27+UK,Sector,Leather and leather products (19),634374123225807.2
EU27+UK,Sector,Lignite/Brown Coal,-1523732013490.8203
EU27+UK,Sector,Liquefied Petroleum Gases (LPG),-7596886721747.238
EU27+UK,Sector,Lubricants,-1687575814513.519
EU27+UK,Sector,Machinery and equipment n.e.c. (29),-80110013059306.14
EU27+UK,Sector,Manure (biogas treatment),0.0
EU27+UK,Sector,Manure (conventional treatment),0.0
EU27+UK,Sector,Meat animals nec,-17069457204342.762
EU27+UK,Sector,Meat products nec,-20256287699052.55
EU27+UK,Sector,"Medical, precision and optical instruments, watches and clocks (33)",18640138648885.01
EU27+UK,Sector,Membership organisation services n.e.c. (91),24427077590165.69
EU27+UK,Sector,Motor Gasoline,-205835924601682.56
EU27+UK,Sector,"Motor vehicles, trailers and semi-trailers (34)",39082526094854.79
EU27+UK,Sector,N-fertiliser,1574246866565.8142
EU27+UK,Sector,Naphtha,34910136450171.125
EU27+UK,Sector,Natural Gas Liquids,-20005965487111.47
EU27+UK,Sector,"Natural gas and services related to natural gas extraction, excluding surveying",16007811092010.895
EU27+UK,Sector,Neodymium,-14658344.363385301
EU27+UK,Sector,Nickel ores and concentrates,244456033627.09753
EU27+UK,Sector,Non-specified Petroleum Products,-32673849300884.527
EU27+UK,Sector,Nuclear fuel,-8035416228668.773
EU27+UK,Sector,Office machinery and computers (30),87553973100442.75
EU27+UK,Sector,Offshore wind plants,0.0
EU27+UK,Sector,Oil seeds,5865720159423.574
EU27+UK,Sector,Oil/hazardous waste for treatment: incineration,-2267746999827.9326
EU27+UK,Sector,Onshore wind plants,0.0
EU27+UK,Sector,Other Bituminous Coal,869307594476.898
EU27+UK,Sector,Other Hydrocarbons,593746284522.1436
EU27+UK,Sector,Other Liquid Biofuels,-4627519608.124418
EU27+UK,Sector,Other business services (74),1016827703200830.9
EU27+UK,Sector,Other land transportation services,-238873702583469.78
EU27+UK,Sector,Other non-ferrous metal ores and concentrates,10353458470379.738
EU27+UK,Sector,Other non-ferrous metal products,16614643253207.889
EU27+UK,Sector,Other non-metallic mineral products,-127516692240598.64
EU27+UK,Sector,Other services (93),20725055245640.633
EU27+UK,Sector,Other transport equipment (35),36252794346460.23
EU27+UK,Sector,Other waste for treatment: waste water treatment,1164032923689.116
EU27+UK,Sector,Oxygen Steel Furnace Gas,5477953885064.106
EU27+UK,Sector,P- and other fertiliser,-21737557812494.83
EU27+UK,Sector,Paddy rice,106368369022.44485
EU27+UK,Sector,Paper and paper products,14319626538295.23
EU27+UK,Sector,Paper and wood waste for treatment: composting and land application,2317723696.2797737
EU27+UK,Sector,Paper for treatment: landfill,-4435141925881.662
EU27+UK,Sector,Paper waste for treatment: biogasification and land application,75487805036.19592
EU27+UK,Sector,Paper waste for treatment: incineration,842397357524.8477
EU27+UK,Sector,Paraffin Waxes,-22787069356844.83
EU27+UK,Sector,Patent Fuel,-270088850493.83896
EU27+UK,Sector,Peat,1847547244641.8286
EU27+UK,Sector,Petroleum Coke,-31722087401453.83
EU27+UK,Sector,Photovoltaic plants,0.0
EU27+UK,Sector,Pigs,2929572268117.633
EU27+UK,Sector,Plant-based fibers,5998033955061.353
EU27+UK,Sector,Plastic waste for treatment: incineration,-80021671175.40027
EU27+UK,Sector,Plastic waste for treatment: landfill,-399134555775.2702
EU27+UK,Sector,"Plastics, basic",18622122577077.637
EU27+UK,Sector,Post and telecommunication services (64),142076534414233.94
EU27+UK,Sector,Poultry,13543976087619.61
EU27+UK,Sector,Precious metal ores and concentrates,307184883946.78076
EU27+UK,Sector,Precious metals,178079003513406.8
EU27+UK,Sector,Printed matter and recorded media (22),37770587283381.2
EU27+UK,Sector,Private households with employed persons (95),264082989547.74585
EU27+UK,Sector,Processed rice,-447140755812.1597
EU27+UK,Sector,"Products of forestry, logging and related services (02)",-30644288682818.547
EU27+UK,Sector,Products of meat cattle,-176647547747.30737
EU27+UK,Sector,Products of meat pigs,-10495500393212.266
EU27+UK,Sector,Products of meat poultry,6938551947061.616
EU27+UK,Sector,Public administration and defence services; compulsory social security services (75),-891135162670212.2
EU27+UK,Sector,Pulp,3262046623925.3525
EU27+UK,Sector,"Radio, television and communication equipment and apparatus (32)",2842439539246.5503
EU27+UK,Sector,Railway transportation services,13024249377962.994
EU27+UK,Sector,Raw milk,5094391599465.189
EU27+UK,Sector,Raw silicon,-3166662466.662195
EU27+UK,Sector,Real estate services (70),70141051025633.64
EU27+UK,Sector,"Recreational, cultural and sporting services (92)",899045892410.5281
EU27+UK,Sector,Refinery Feedstocks,-43251956220574.25
EU27+UK,Sector,Refinery Gas,-4882504848964.436
EU27+UK,Sector,Refinery of Cu in wires of WT and PV,0.0
EU27+UK,Sector,Refinery of Generators of Offshore Wind Turbines,0.0
EU27+UK,Sector,Refinery of Generators of Onshore Wind Turbines,0.0
EU27+UK,Sector,Refinery of Silicon layer in PV panel,0.0
EU27+UK,Sector,Renting services of machinery and equipment without operator and of personal and household goods (71),1071780521794556.8
EU27+UK,Sector,Research and development services (73),114613274253514.31
EU27+UK,Sector,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",70337556160546.84
EU27+UK,Sector,Retail trade services of motor fuel,20076074347230.863
EU27+UK,Sector,Rubber and plastic products (25),418404170814709.3
EU27+UK,Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",248520691734151.56
EU27+UK,Sector,Sand and clay,-25276346274227.406
EU27+UK,Sector,Sea and coastal water transportation services,19447017277124.78
EU27+UK,Sector,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
EU27+UK,Sector,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
EU27+UK,Sector,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
EU27+UK,Sector,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
EU27+UK,Sector,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
EU27+UK,Sector,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
EU27+UK,Sector,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
EU27+UK,Sector,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
EU27+UK,Sector,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
EU27+UK,Sector,Secondary raw materials,753199301357.562
EU27+UK,Sector,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
EU27+UK,Sector,Services auxiliary to financial intermediation (67),187832843395151.7
EU27+UK,Sector,Sewage sludge for treatment: biogasification and land application,6087162355955.325
EU27+UK,Sector,Steam and hot water supply services,4981235295176.213
EU27+UK,Sector,Stone,7491343923846.914
EU27+UK,Sector,Sub-Bituminous Coal,-1452526798124.5771
EU27+UK,Sector,Sugar,-1281489685953.348
EU27+UK,Sector,"Sugar cane, sugar beet",-52920345951.80514
EU27+UK,Sector,Supporting and auxiliary transport services; travel agency services (63),-533449362761605.75
EU27+UK,Sector,Textiles (17),38245991074989.36
EU27+UK,Sector,Textiles waste for treatment: incineration,74555771856.92809
EU27+UK,Sector,Textiles waste for treatment: landfill,630773602929.3804
EU27+UK,Sector,Tobacco products (16),2300532816149.2075
EU27+UK,Sector,Transmission services of electricity,31139459506466.52
EU27+UK,Sector,Transportation services via pipelines,-96028659062908.77
EU27+UK,Sector,Uranium and thorium ores (12),5473083959929.593
EU27+UK,Sector,"Vegetables, fruit, nuts",-31398848744988.6
EU27+UK,Sector,Wearing apparel; furs (18),808517594248.79
EU27+UK,Sector,Wheat,95199044768457.53
EU27+UK,Sector,White Spirit & SBP,14001561078052.633
EU27+UK,Sector,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",-195796607345121.44
EU27+UK,Sector,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),16611175453961.193
EU27+UK,Sector,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
EU27+UK,Sector,Wood waste for treatment: incineration,-33506696522.136337
EU27+UK,Sector,Wood waste for treatment: landfill,-3934851287118.0425
